SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
378858|0000000921942733              |20220528|065600|001|676|0|30300051|130010008|130752119|1|20220528|061520|8001940|20220528|070612|8002437|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378860|0000000759411852              |20220528|081239|001|676|0|30300037|130010006|130752038|1|20220528|063720|8002343|20220528|081559|8001036|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378862|0000000918485598              |20220528|083553|001|675|0|30300058|130010004|130752294|1|20220528|051813|8001983|20220528|084229|8002608|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378864|0000000665922226              |20220528|191020|001|676|0|30300051|130010008|130752125|1|20220528|182954|8001940|20220528|193448|8001097|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378866|0000000705652439              |20220528|215818|009|676|0|30300130|130010008|130752140|1|20220528|214046|8001940|20220528|215921|8001934|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378868|0000000464435744              |20220528|165549|022|676|0|30300051|130010008|130752115|1|20220528|161119|8001940|20220528|171117|8002995|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379275|0000000637744633              |20220528|054527|001|676|0|30300051|130010008|130752102|1|20220528|054229|8002950|20220528|060107|8001420|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379277|0000000772072811              |20220528|081825|001|676|0|30300090|130010005|130759268|1|20220528|060547|8005990|20220528|085520|8001655|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379279|0000000768963502              |20220528|213942|009|676|0|30300041|130010012|130753320|1|20220528|213322|8005990|20220528|214825|8002720|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379281|0000000777858997              |20220528|170542|001|676|0|30300051|130010008|130752130|1|20220528|165932|8002950|20220528|172603|8002330|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
